location_id,location_name,latitude,longitude
6942,"Phase-4 GIDC, Vatva - GPCB",22.969611,72.6435
6943,"Mahape, Navi Mumbai - MPCB",19.1135051,73.008978
6945,"Kurla, Mumbai - MPCB",19.0863,72.8888
6946,"Belur Math, Howrah - WBPCB",22.629801,88.352017
6948,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.10078,72.87462
6950,"Jadavpur, Kolkata - WBPCB",22.49929,88.36917
6954,"Chikkaballapur Rural, Chikkaballapur - KSPCB",13.428828,77.731418
6955,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",17.321993,76.822628
6956,"Powai, Mumbai - MPCB",19.1375,72.915056
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829
6959,"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993
6960,"Patparganj, Delhi - DPCC",28.623748,77.287205
6961,"Shrivastav Colony, Damoh - MPPCB",23.81748678,79.446246
6962,"GIDC, Ankleshwar - GPCB",21.613267,73.010555
6966,"Udyogamandal, Eloor - Kerala PCB",10.073232,76.302765
6968,"Phase-1 GIDC, Vapi - GPCB",20.362421,72.918013
6973,"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908
6974,"Bapuji Nagar, Bengaluru - KSPCB",12.951913,77.539784
6975,"Silk Board, Bengaluru - KSPCB",12.917348,77.622813
6976,"Jai Bhim Nagar, Meerut - UPPCB",28.9535882,77.7622941
6978,"Knowledge Park - III, Greater Noida - UPPCB",28.47272,77.482
6980,"Sector-1, Noida - UPPCB",28.589247,77.321962
6981,"Fort William, Kolkata - WBPCB",22.55664,88.342674
6982,"Deshpande Nagar, Hubballi - KSPCB",15.351773,75.140726
6983,"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901
6984,"Hebbal, Bengaluru - KSPCB",13.029152,77.585901
6985,"Yamunapuram, Bulandshahr - UPPCB",28.406963,77.849831
6986,"Knowledge Park - V, Greater Noida - UPPCB",28.557054,77.453663
6987,"Vile Parle West, Mumbai - MPCB",19.10861,72.83622
6988,"Sector-116, Noida - UPPCB",28.56923,77.393848
7005,"Loni, Ghaziabad - UPPCB",28.757294,77.278792
7140,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119
7289,"Hebbal 1st Stage, Mysuru - KSPCB",12.21041,76.37376
7292,"Chhoti Gwaltoli, Indore - MPPCB",22.431,75.5213
7494,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348
7495,"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586
7720,"Pallavpuram Phase 2, Meerut - UPPCB",29.06351,77.709723
7752,"Khadakpada, Kalyan - MPCB",19.25292,73.142019
7833,"Ganga Nagar, Meerut - UPPCB",28.999264,77.7590354
7880,"Sikulpuikawn, Aizawl - Mizoram PCB",23.7176342,92.7192841
7901,"Corporation Ground, Thrissur- Kerala PCB",10.522198,76.24085
7979,"Deen Dayal Nagar, Sagar - MPPCB",23.8640158,78.80289321
